Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years
"How often do you or someone else in your home do these things with your child? Discuss environmental problems (e.g., <climate change, endangered animals>)",ASBH09A,ASBLH07A,HQ-09a,HQ-07a,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Read or watch information about environmental problems (e.g., <climate change, endangered animals>)",ASBH09B,ASBLH07B,HQ-09b,HQ-07b,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Show him/her how to use less resources (e.g., <water, energy>) to help the natural environment",ASBH09C,ASBLH07C,HQ-09c,HQ-07c,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Spend time in nature (e.g., <forests, parks, deserts>)",ASBH09D,ASBLH07D,HQ-09d,HQ-07d,Home,,✓,✓,✓
How often do you or someone else in your home do these things with your child? Encourage him/her to take action to protect the natural environment,ASBH09E,ASBLH07E,HQ-09e,HQ-07e,Home,,✓,✓,✓
"About how many books are there in your home? (Do not count ebooks, magazines, newspapers, or children's books.)",ASBH10,ASBLH08,HQ-10,HQ-08,Home,,✓,✓,✓
"About how many children's books are there in your home? (Do not count children's ebooks, magazines, or school books.)",ASBH11,ASBLH09,HQ-11,HQ-09,Home,,✓,✓,✓
Do you have any of these digital resources in your home? A computer or laptop,ASBH12A,ASBLH10A,HQ-12a,HQ-10a,Home,,✓,✓,✓
Do you have any of these digital resources in your home? A tablet or e-reader,ASBH12B,ASBLH10B,HQ-12b,HQ-10b,Home,,✓,✓,✓
Do you have any of these digital resources in your home? Reliable internet access,ASBH12C,ASBLH10C,HQ-12c,HQ-10c,Home,,✓,✓,✓
Were the child’s <parents/guardians> born in <country>? <Parent/Guardian A>,ASBH13A,,HQ-13A,,Home,,✓,,
Were the child’s <parents/guardians> born in <country>? <Parent/Guardian B>,ASBH13B,,HQ-13B,,Home,,✓,,
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <language of test>,ASBH14AA,ASBLH11AA,HQ-14Aa,HQ-11Aa,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <language of test>,ASBH14AB,ASBLH11AB,HQ-14Ab,HQ-11Ab,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14BA,ASBLH11BA,HQ-14Ba,HQ-11Ba,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14BB,ASBLH11BB,HQ-14Bb,HQ-11Bb,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14CA,ASBLH11CA,HQ-14Ca,HQ-11Ca,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14CB,ASBLH11CB,HQ-14Cb,HQ-11Cb,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14DA,ASBLH11DA,HQ-14Da,HQ-11Da,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14DB,ASBLH11DB,HQ-14Db,HQ-11Db,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14EA,ASBLH11EA,HQ-14Ea,HQ-11Ea,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14EB,ASBLH11EB,HQ-14Eb,HQ-11Eb,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> Other,ASBH14FA,ASBLH11FA,HQ-14Fa,HQ-11Fa,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> Other,ASBH14FB,ASBLH11FB,HQ-14Fb,HQ-11Fb,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> Not applicable,ASBH14GA,ASBLH11GA,HQ-14Ga,HQ-11Ga,Home,,✓,✓,✓
Do the child’s <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> Not applicable,ASBH14GB,ASBLH11GB,HQ-14Gb,HQ-11Gb,Home,,✓,✓,✓
How often does your child speak <language of test> at home?,ASBH15,ASBLH12,HQ-15,HQ-12,Home,,✓,✓,✓
"What is the highest level of education completed by the child’s <parents/guardians>?
<Parent/Guardian A>",ASBH16A,ASBLH13A,HQ-16a,HQ-13a,Home,,✓,✓,✓
"What is the highest level of education completed by the child’s <parents/guardians>?
<Parent/Guardian B>",ASBH16B,ASBLH13B,HQ-16b,HQ-13b,Home,,✓,✓,✓
How far in his/her education do you expect your child to go?,ASBH17,ASBLH14,HQ-17,HQ-14,Home,,✓,✓,✓
"What kind of work do the child’s <parents/guardians> do for their main jobs? <Parent/Guardian A>
",ASBH18A,ASBLH15A,HQ-18a,HQ-15a,Home,,✓,✓,✓
"What kind of work do the child’s <parents/guardians> do for their main jobs? <Parent/Guardian B>
",ASBH18B,ASBLH15B,HQ-18b,HQ-15b,Home,,✓,✓,✓
Do you think your child's learning progress has been negatively impacted by the COVID-19 pandemic?,ASBH19,,HQ-19,,Home,,✓,,
"Did your child receive a digital device (e.g., laptop, tablet) from his/her school to use for at-home learning during the COVID-19 pandemic?",ASBH20,,HQ-20,,Home,,✓,,
What do you think of your child's school? My child's school does a good job including me in my child's education,ASBH08A,ASBLH01A,,HQ-08a,Home,,✓,✓,✓
What do you think of your child's school? My child's school provides a safe environment,ASBH08B,ASBLH01B,,HQ-08b,Home,,✓,✓,✓
What do you think of your child's school? My child's school cares about my child's progress in school,ASBH08C,ASBLH01C,,HQ-08c,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job informing me of his/her progress,ASBH08D,ASBLH01D,,HQ-08d,Home,,✓,✓,✓
What do you think of your child's school? My child's school promotes high academic standards,ASBH08E,ASBLH01E,,HQ-08e,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in reading,ASBH08F,ASBLH01F,,HQ-08f,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in mathematics,ASBH08G,ASBLH01G,,HQ-08g,Home,,✓,✓,✓
What do you think of your child's school? My child's school does a good job in helping him/her become better in science,ASBH08H,ASBLH01H,,HQ-08h,Home,,✓,✓,✓
Please estimate how many of the parent-teacher meetings scheduled by your child's school that you or someone else in your home have attended over the past school year.,,ASBLH02,,,Home,,,✓,
How often have you or someone else in your home initiated a meeting with your child's teacher in the past year?,,ASBLH03,,,Home,,,✓,
"Have you or someone else in your home done the following over the past school year? Helped with organizing school or class events (e.g., field trips, celebrations)",,ASBLH04A,,,Home,,,✓,
"Have you or someone else in your home done the following over the past school year? Attended a school or class event (e.g., concert, play)",,ASBLH04B,,,Home,,,✓,
"Have you or someone else in your home done the following over the past school year? Contacted a representative about decision-making at the school (e.g., <elected parent representative, school board>)",,ASBLH04C,,,Home,,,✓,
Have you or someone else in your home done the following over the past school year? Spoken with other parents about the school,,ASBLH04D,,,Home,,,✓,
How often have you or someone else in your home done the following with your child over the past school year? Talked about your child's school day,,ASBLH05A,,,Home,,,✓,
"How often have you or someone else in your home done the following with your child over the past school year? Practiced reading, math, or other skills",,ASBLH05B,,,Home,,,✓,
"How often have you or someone else in your home done the following with your child over the past school year? Done creative activities (e.g., <crafts, drawings>)",,ASBLH05C,,,Home,,,✓,
"How often have you or someone else in your home done the following with your child over the past school year? Taken your child to places where they have opportunities to learn (e.g., <museum, library>)",,ASBLH05D,,,Home,,,✓,
How often have you or someone else in your home done the following when your child is assigned homework? Made sure the homework was completed,,ASBLH06A,,,Home,,,✓,
How often have you or someone else in your home done the following when your child is assigned homework? Helped your child with his/her homework when needed,,ASBLH06B,,,Home,,,✓,
"How often do you or someone else in your home do these things with your child? Discuss environmental problems (e.g., <climate change, endangered animals>)",ASBH09A,ASBLH07A,,HQ-09a,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Read or watch information about environmental problems (e.g., <climate change, endangered animals>)",ASBH09B,ASBLH07B,,HQ-09b,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Show him/her how to use less resources (e.g., <water, energy>) to help the natural environment",ASBH09C,ASBLH07C,,HQ-09c,Home,,✓,✓,✓
"How often do you or someone else in your home do these things with your child? Spend time in nature (e.g., <forests, parks, deserts>)",ASBH09D,ASBLH07D,,HQ-09d,Home,,✓,✓,✓
How often do you or someone else in your home do these things with your child? Encourage him/her to take action to protect the natural environment,ASBH09E,ASBLH07E,,HQ-09e,Home,,✓,✓,✓
"About how many books are there in your home? (Do not count ebooks, magazines, newspapers, or children's books.)",ASBH10,ASBLH08,,HQ-10,Home,,✓,✓,✓
"About how many children's books are there in your home? (Do not count children's ebooks, magazines, or school books.)",ASBH11,ASBLH09,,HQ-11,Home,,✓,✓,✓
Do you have any of these digital resources in your home? A computer or laptop,ASBH12A,ASBLH10A,,HQ-12a,Home,,✓,✓,✓
Do you have any of these digital resources in your home? A tablet or e-reader,ASBH12B,ASBLH10B,,HQ-12b,Home,,✓,✓,✓
Do you have any of these digital resources in your home? Reliable internet access,ASBH12C,ASBLH10C,,HQ-12c,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <language of test>,ASBH14AA,ASBLH11AA,,HQ-14Aa,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <language of test>,ASBH14AB,ASBLH11AB,,HQ-14Ab,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14BA,ASBLH11BA,,HQ-14Ba,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14BB,ASBLH11BB,,HQ-14Bb,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14CA,ASBLH11CA,,HQ-14Ca,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14CB,ASBLH11CB,,HQ-14Cb,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14DA,ASBLH11DA,,HQ-14Da,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14DB,ASBLH11DB,,HQ-14Db,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> <country-specific>,ASBH14EA,ASBLH11EA,,HQ-14Ea,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> <country-specific>,ASBH14EB,ASBLH11EB,,HQ-14Eb,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> Other,ASBH14FA,ASBLH11FA,,HQ-14Fa,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> Other,ASBH14FB,ASBLH11FB,,HQ-14Fb,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian A> Not applicable,ASBH14GA,ASBLH11GA,,HQ-14Ga,Home,,✓,✓,✓
Do the child's <parents/guardians> talk with the child in the following languages? <Parent/Guardian B> Not applicable,ASBH14GB,ASBLH11GB,,HQ-14Gb,Home,,✓,✓,✓
How often does your child speak <language of test> at home?,ASBH15,ASBLH12,,HQ-15,Home,,✓,✓,✓
What is the highest level of education completed by the child's <parents/guardians>? <Parent/Guardian A>,ASBH16A,ASBLH13A,,HQ-16a,Home,,✓,✓,✓
What is the highest level of education completed by the child's <parents/guardians>? <Parent/Guardian B>,ASBH16B,ASBLH13B,,HQ-16b,Home,,✓,✓,✓
How far in his/her education do you expect your child to go?,ASBH17,ASBLH14,,HQ-17,Home,,✓,✓,✓
What kind of work do the child's <parents/guardians> do for their main jobs? <Parent/Guardian A>,ASBH18A,ASBLH15A,,HQ-18a,Home,,✓,✓,✓
What kind of work do the child's <parents/guardians> do for their main jobs? <Parent/Guardian B>,ASBH18B,ASBLH15B,,HQ-18b,Home,,✓,✓,✓
"What is the total enrollment of students in your school as of <first day of month TIMSS testing begins, 2023>?",ACBG01,,ScQ-01,,School,,✓,,
"What is the total enrollment of <fourth grade> students in your school as of <first day of month TIMSS testing begins, 2023>?",ACBG02,ACBLG01,ScQ-02,ScQ-01,School,,✓,✓,✓
Approximately what percentage of students in your school have the following backgrounds? Come from economically disadvantaged homes,ACBG03A,ACBLG02A,ScQ-03a,ScQ-02a,School,,✓,✓,✓
Approximately what percentage of students in your school have the following backgrounds? Come from economically affluent homes,ACBG03B,ACBLG02B,ScQ-03b,ScQ-02b,School,,✓,✓,✓
Approximately what percentage of students in your school have <language of test> as their native language?,ACBG04,ACBLG03,ScQ-04,ScQ-03,School,,✓,✓,✓
"How many people live in the city, town, or area where your school is located?",ACBG05A,,ScQ-05A,,School,,✓,,
Which best describes the immediate area in which your school is located?,ACBG05B,,ScQ-05B,,School,,✓,,
For the <fourth grade> students in your school: How many days per year is your school open for instruction?,ACBG06A,ACBLG04A,ScQ-06A,ScQ-04A,School,,✓,✓,✓
"For the <fourth grade> students in your school: What is the total instructional time, excluding breaks, in a typical day? (minutes)",ACBG06B,ACBLG04B,ScQ-06B,ScQ-04B,School,,✓,✓,✓
"For the <fourth grade> students in your school: In one calendar week, how many days is the school open for instruction?",ACBG06C,ACBLG04C,ScQ-06C,ScQ-04C,School,,✓,✓,✓
How many computers (including tablets) does your school have for use by <fourth grade> students?,ACBG07,ACBLG05,ScQ-07,ScQ-05,School,,✓,✓,✓
Does your school have a science laboratory that can be used by <fourth grade> students?,ACBG08,ACBLG07,ScQ-08,ScQ-07,School,,✓,✓,✓
"Does your school use an online learning management system to support learning (e.g., teacher-student communication, management of grades, student access to course materials)?",ACBG09,ACBLG08,ScQ-09,ScQ-08,School,,✓,✓,✓
Do students in your school have access to these resources? A library or media center,ACBG10A,,ScQ-10A,,School,,✓,,
Do students in your school have access to these resources? High speed internet,ACBG10B,,ScQ-10B,,School,,✓,,
"How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Instructional materials (e.g., textbooks)",ACBG11AA,ACBLG10AA,ScQ-11Aa,ScQ-10Aa,School,,✓,✓,✓
"How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Supplies (e.g., papers, pencils, materials)",ACBG11AB,ACBLG10AB,ScQ-11Ab,ScQ-10Ab,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: School buildings and grounds,ACBG11AC,ACBLG10AC,ScQ-11Ac,ScQ-10Ac,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Heating/cooling and lighting systems,ACBG11AD,ACBLG10AD,ScQ-11Ad,ScQ-10Ad,School,,✓,✓,✓
"How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Instructional space (e.g., classrooms)",ACBG11AE,ACBLG10AE,ScQ-11Ae,ScQ-10Ae,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Technologically competent staff,ACBG11AF,ACBLG10AF,ScQ-11Af,ScQ-10Af,School,,✓,✓,✓
"How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Audio-visual resources for delivery of instruction (e.g., interactive white boards, digital projectors)",ACBG11AG,ACBLG10AG,ScQ-11Ag,ScQ-10Ag,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Digital devices for student use,ACBG11AH,ACBLG10AH,ScQ-11Ah,ScQ-10Ah,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? General School Resources: Resources for students with disabilities,ACBG11AI,ACBLG10AI,ScQ-11Ai,ScQ-10Ai,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Teachers with a specialization in mathematics,ACBG11BA,ACBLG10BA,ScQ-11Ba,ScQ-10Ba,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Computer software/applications for mathematics instruction,ACBG11BB,ACBLG10BB,ScQ-11Bb,ScQ-10Bb,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Library resources relevant to mathematics instruction,ACBG11BC,ACBLG10BC,ScQ-11Bc,ScQ-10Bc,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Calculators for mathematics instruction,ACBG11BD,ACBLG10BD,ScQ-11Bd,ScQ-10Bd,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Mathematics Instruction: Concrete objects or materials to help students understand quantities or procedures,ACBG11BE,ACBLG10BE,ScQ-11Be,ScQ-10Be,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Teachers with a specialization in science,ACBG11CA,ACBLG10CA,ScQ-11Ca,ScQ-10Ca,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Computer software/applications for science instruction,ACBG11CB,ACBLG10CB,ScQ-11Cb,ScQ-11Cb,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Library resources relevant to science instruction,ACBG11CC,ACBLG10CC,ScQ-11Cc,ScQ-11Cc,School,,✓,✓,✓
How much is your school's capacity to provide instruction affected by a shortage or inadequacy of the following? Resources for Science Instruction: Science equipment and materials for experiments,ACBG11CD,ACBLG10CD,ScQ-11Cd,ScQ-11Cd,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' understanding of the school's curricular goals,ACBG12A,ACBLG11A,ScQ-12a,ScQ-11a,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' degree of success in implementing the school's curriculum,ACBG12B,ACBLG11B,ScQ-12b,ScQ-11b,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' expectations for student achievement,ACBG12C,ACBLG11C,ScQ-12c,ScQ-11c,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' ability to inspire students,ACBG12D,ACBLG11D,ScQ-12d,ScQ-11d,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental involvement in school activities,ACBG12E,ACBLG11E,ScQ-12e,ScQ-11e,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental commitment to ensure that students are ready to learn,ACBG12F,ACBLG11F,ScQ-12f,ScQ-11f,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental expectations for student achievement,ACBG12G,ACBLG11G,ScQ-12g,ScQ-11g,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental support for student achievement,ACBG12H,ACBLG11H,ScQ-12h,ScQ-11h,School,,✓,✓,✓
How would you characterize each of the following within your school? Students' desire to do well in school,ACBG12I,ACBLG11I,ScQ-12i,ScQ-11i,School,,✓,✓,✓
How would you characterize each of the following within your school? Students' ability to reach school's academic goals,ACBG12J,ACBLG11J,ScQ-12j,ScQ-11j,School,,✓,✓,✓
How would you characterize each of the following within your school? Students’ respect for classmates who excel academically,ACBG12K,ACBLG11K,ScQ-12k,ScQ-11k,School,,✓,✓,✓
How much do you agree with these statements? This school has a shared vision about its role in supporting environmental sustainability,ACBG13A,ACBLG15A,ScQ-13a,ScQ-15a,School,,✓,✓,✓
How much do you agree with these statements? This school regularly reviews its practices to make them more environmentally sustainable,ACBG13B,ACBLG15B,ScQ-13b,ScQ-15b,School,,✓,✓,✓
How much do you agree with these statements? There is a schoolwide approach to teaching environmental sustainability to students,ACBG13C,ACBLG15C,ScQ-13c,ScQ-15c,School,,✓,✓,✓
How much do you agree with these statements? This school teaches students to appreciate the natural environment,ACBG13D,ACBLG15D,ScQ-13d,ScQ-15d,School,,✓,✓,✓
How much do you agree with these statements? This school teaches students how to take action to protect the natural environment,ACBG13E,ACBLG15E,ScQ-13e,ScQ-15e,School,,✓,✓,✓
How much do you agree with these statements? This school encourages teachers to learn about teaching environmental sustainability,ACBG13F,ACBLG15F,ScQ-13f,ScQ-15f,School,,✓,✓,✓
How much do you agree with these statements? This school promotes environmental sustainability within the community,ACBG13G,ACBLG15G,ScQ-13g,ScQ-15g,School,,✓,✓,✓
How much do you agree with these statements? This school promotes participation in networks or projects related to environmental sustainability,ACBG13H,ACBLG15H,ScQ-13h,ScQ-15h,School,,✓,✓,✓
To what degree is each of the following a problem among <fourth grade> students in your school? Arriving late at school,ACBG14A,,ScQ-14a,,School,,✓,,
"To what degree is each of the following a problem among <fourth grade> students in your school? Absenteeism (i.e., unjustified absences)",ACBG14B,,ScQ-14b,,School,,✓,,
To what degree is each of the following a problem among <fourth grade> students in your school? Classroom disturbance,ACBG14C,,ScQ-14c,,School,,✓,,
